playerID,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,class
buhneja01,1987,2001,1273,310,965,NULL,NULL,NULL,NULL,1,0
bumbral01,1972,1985,1422,54,402,NULL,NULL,NULL,NULL,2,0
bunniji01,1955,1971,213,7,75,519,3433,1000,2855,2,1
burdele01,1950,1967,185,12,75,373,3186,628,1074,2,0
burgesm01,1949,1967,1318,126,673,NULL,NULL,NULL,NULL,1,0
burkeje01,1890,1905,2850,75,952,12,144,94,84,NULL,1
burksel01,1987,2004,2107,352,1206,NULL,NULL,NULL,NULL,5,0
burleri01,1974,1987,1401,50,449,NULL,NULL,NULL,NULL,4,0
burnije01,1993,2006,1447,315,981,NULL,NULL,NULL,NULL,NULL,0
burnsge01,1911,1925,2077,41,611,NULL,NULL,NULL,NULL,4,0
burrepa01,2000,2011,1393,292,976,NULL,NULL,NULL,NULL,NULL,0
burroje01,1970,1985,1443,240,882,NULL,NULL,NULL,NULL,3,0
bushdo01,1908,1923,1804,9,436,NULL,NULL,NULL,NULL,4,0
bushgu01,1923,1945,143,0,52,308,2950,859,850,NULL,0
bushjo01,1912,1928,313,7,137,366,2992,1263,1319,2,0
butlebr01,1981,1997,2375,54,578,NULL,NULL,NULL,NULL,2,0
cabreor01,1997,2011,2055,123,854,NULL,NULL,NULL,NULL,2,0
cadorle01,1915,1924,92,5,45,147,1273,289,445,NULL,0
caldwmi01,1971,1984,34,0,8,307,2581,597,939,NULL,0
callijo01,1958,1973,1757,226,840,NULL,NULL,NULL,NULL,1,0
camermi01,1995,2011,1700,278,968,NULL,NULL,NULL,NULL,3,0
camildo01,1933,1945,1482,239,950,NULL,NULL,NULL,NULL,5,0
caminke01,1987,2001,1710,239,983,NULL,NULL,NULL,NULL,6,0
camniho01,1904,1915,92,1,32,236,1852,656,915,1,0
campabe01,1964,1983,2249,79,646,0,1,2,1,3,0
camparo01,1948,1957,1161,242,856,NULL,NULL,NULL,NULL,10,1
campbbi02,1973,1987,4,0,2,9,1139,495,864,4,0
candejo01,1975,1993,104,1,48,356,2399,592,1673,NULL,0
candito01,1983,1999,35,0,12,410,2662,883,1735,NULL,0
cannich01,1960,1974,458,18,169,NULL,NULL,NULL,NULL,NULL,0
cansejo01,1985,2001,1877,462,1407,0,2,3,0,11,0
cardejo02,1963,1980,1913,138,775,NULL,NULL,NULL,NULL,NULL,0
cardele01,1960,1975,1725,118,689,NULL,NULL,NULL,NULL,2,0
carewro01,1967,1985,3053,92,1015,NULL,NULL,NULL,NULL,14,1
careyma01,1910,1929,2665,70,800,NULL,NULL,NULL,NULL,5,1
carltst01,1965,1988,346,13,140,709,4672,1833,4136,17,1
carrach01,1950,1959,1199,55,474,NULL,NULL,NULL,NULL,NULL,0
carribi02,1906,1916,506,6,235,NULL,NULL,NULL,NULL,3,0
carrocl02,1964,1978,27,1,7,28,1296,442,681,1,0
cartega01,1974,1992,2092,324,1225,NULL,NULL,NULL,NULL,17,1
cartejo01,1983,1998,2184,396,1445,NULL,NULL,NULL,NULL,4,0
cartyri01,1963,1979,1677,204,890,NULL,NULL,NULL,NULL,NULL,0
casanpa01,1965,1974,627,50,252,NULL,NULL,NULL,NULL,1,0
casege01,1937,1947,1415,21,377,NULL,NULL,NULL,NULL,NULL,0
caseyse01,1997,2008,1531,130,735,NULL,NULL,NULL,NULL,1,0
